Taylor N, bytes, block size, Base, Vectorized, Strided, Consecutive, Strided vectorized
4, 33554432, 832, 63, 61, 56, 97, 59
4, 33554432, 896, 63, 61, 57, 106, 60
4, 33554432, 960, 62, 59, 56, 74, 59
4, 33554432, 1024, 60, 59, 54, 75, 58
4, 67108864, 256, 97, 99, 101, 2324, 92
4, 67108864, 320, 102, 102, 114, 2155, 105
4, 67108864, 384, 103, 103, 108, 1825, 100
4, 67108864, 448, 101, 102, 104, 1972, 98
4, 67108864, 512, 98, 99, 107, 1621, 100
4, 67108864, 576, 104, 103, 101, 1482, 97
4, 67108864, 640, 105, 104, 105, 1128, 98
4, 67108864, 704, 104, 102, 99, 1053, 96
4, 67108864, 768, 99, 100, 113, 940, 91
4, 67108864, 832, 111, 102, 99, 824, 95
4, 67108864, 896, 111, 105, 101, 725, 99
4, 67108864, 960, 108, 102, 97, 612, 96
4, 67108864, 1024, 106, 100, 114, 669, 94
4, 134217728, 256, 180, 182, 189, 5146, 166
4, 134217728, 320, 191, 189, 219, 5047, 191
4, 134217728, 384, 193, 190, 205, 4680, 182
4, 134217728, 448, 189, 188, 196, 4746, 176
4, 134217728, 512, 183, 183, 178, 4816, 162
4, 134217728, 576, 195, 188, 191, 4977, 174
4, 134217728, 640, 199, 191, 198, 4414, 179
4, 134217728, 704, 194, 188, 187, 4229, 170
4, 134217728, 768, 184, 184, 177, 3753, 163
4, 134217728, 832, 210, 189, 185, 3917, 170
4, 134217728, 896, 210, 191, 189, 4025, 174
4, 134217728, 960, 206, 188, 181, 3572, 169
4, 134217728, 1024, 201, 185, 185, 3418, 163
4, 268435456, 256, 347, 348, 366, 10840, 317
4, 268435456, 320, 370, 361, 423, 11016, 372
4, 268435456, 384, 372, 364, 397, 10821, 348
4, 268435456, 448, 365, 358, 379, 10843, 335
4, 268435456, 512, 352, 348, 342, 10545, 302
4, 268435456, 576, 377, 360, 370, 10516, 329
4, 268435456, 640, 385, 364, 382, 10226, 338
4, 268435456, 704, 375, 358, 361, 9954, 323
4, 268435456, 768, 355, 352, 336, 9503, 301
4, 268435456, 832, 411, 361, 358, 9452, 320
4, 268435456, 896, 406, 365, 366, 9592, 327
4, 268435456, 960, 395, 359, 350, 9692, 316
4, 268435456, 1024, 387, 352, 335, 9948, 305
4, 536870912, 256, 680, 680, 718, 23250, 618
4, 536870912, 320, 727, 704, 837, 22508, 725
4, 536870912, 384, 732, 710, 780, 22119, 682
4, 536870912, 448, 717, 698, 747, 22281, 656
4, 536870912, 512, 692, 682, 668, 22121, 588
4, 536870912, 576, 739, 702, 724, 22055, 642
4, 536870912, 640, 754, 710, 757, 22201, 656
4, 536870912, 704, 737, 699, 709, 22142, 624
4, 536870912, 768, 701, 685, 659, 21993, 581
4, 536870912, 832, 807, 704, 705, 21729, 618
4, 536870912, 896, 801, 712, 720, 21723, 636
4, 536870912, 960, 777, 700, 689, 21710, 610
4, 536870912, 1024, 768, 686, 656, 21803, 580
8, 8388608, 256, 31, 37, 56, 56, 57
8, 8388608, 320, 32, 40, 35, 35, 40
8, 8388608, 384, 32, 40, 34, 35, 40
8, 8388608, 448, 31, 40, 33, 33, 40
8, 8388608, 512, 31, 37, 31, 32, 38
8, 8388608, 576, 32, 41, 33, 34, 43
8, 8388608, 640, 32, 40, 32, 34, 42
8, 8388608, 704, 32, 40, 32, 33, 42
8, 8388608, 768, 31, 40, 31, 32, 42
8, 8388608, 832, 32, 39, 32, 33, 44
8, 8388608, 896, 32, 41, 32, 34, 46
8, 8388608, 960, 32, 40, 32, 34, 46
8, 8388608, 1024, 31, 40, 31, 33, 45
8, 16777216, 256, 48, 57, 58, 161, 58
8, 16777216, 320, 49, 61, 58, 119, 59
8, 16777216, 384, 50, 61, 55, 101, 59
8, 16777216, 448, 49, 60, 53, 71, 58
8, 16777216, 512, 48, 58, 79, 53, 57
8, 16777216, 576, 49, 61, 53, 55, 61
8, 16777216, 640, 50, 61, 53, 55, 62
8, 16777216, 704, 50, 60, 52, 53, 60
8, 16777216, 768, 48, 60, 50, 51, 94
8, 16777216, 832, 50, 60, 51, 52, 61
8, 16777216, 896, 51, 62, 52, 54, 63
8, 16777216, 960, 49, 58, 51, 52, 62
8, 16777216, 1024, 48, 58, 49, 51, 61
8, 33554432, 256, 82, 97, 90, 784, 89
8, 33554432, 320, 85, 102, 102, 548, 102
8, 33554432, 384, 85, 102, 98, 465, 99
8, 33554432, 448, 84, 101, 94, 372, 96
8, 33554432, 512, 82, 97, 100, 328, 89
8, 33554432, 576, 85, 101, 93, 277, 99
8, 33554432, 640, 86, 103, 94, 218, 99
8, 33554432, 704, 84, 101, 90, 155, 97
8, 33554432, 768, 83, 99, 107, 184, 93
